,Name,Year,Duration,Age_restriction,Country,Genre,Rating,Number_of_reviews
0,777 Чарли ,2022,163,16+,Индия,Драмы,9.3,35
1,1+1 ,2011,112,18+,Франция,Драмы,9.0,390
2,Леон ,1994,124,16+,Франция,Триллеры,8.9,3
3,Зеленая книга ,2018,124,18+,США,Комедии,9.1,227
4,Бойцовский клуб ,1999,133,18+,США,Триллеры,8.6,27
5,В поисках снежного барса ,2021,92,12+,Франция,Документальные,8.7,2
6,Брат 2 ,2000,122,18+,Россия,Криминал,9.0,173
7,Титаник ,2012,2 серии,16+,Россия,Документальные,8.6,17
8,Грязные танцы ,1987,100,18+,США,Драмы,9.1,17
9,Остров проклятых ,2009,132,18+,США,Триллеры,8.1,51
10,"Поймай меня, если сможешь ",2002,134,18+,США,Драмы,8.8,21
11,"Карты, деньги, два ствола ",1998,106,18+,Великобритания,Боевики,8.4,36
12,Хатико: Самый верный друг ,2009,89,0+,США,Драмы,9.0,75
13,Голубая бездна ,1988,161,16+,Франция,Драмы,9.3,1
14,Джентльмены ,2019,113,18+,Великобритания,Криминал,9.0,79
15,Земля: Один потрясающий день ,2017,93,6+,Великобритания,Семейные,8.8,39
16,Щенячья школа ,2018,77,6+,США,Документальные,8.9,9
17,Медведи Камчатки. Начало жизни ,2018,52,0+,Россия,Документальные,8.6,23
18,Доспехи Бога ,1986,86,16+,Гонконг,Боевики,9.8,1
19,Расправь крылья ,2019,113,6+,Франция,Приключения,9.1,58
20,Жизнь прекрасна ,1997,110,16+,Италия,Драмы,8.7,9
21,Гладиатор ,2000,154,18+,США,Боевики,9.1,20
22,Доктор Лиза ,2020,119,18+,Россия,Драмы,9.1,45
23,Собачья жизнь ,2017,99,6+,США,Фэнтези,9.1,29
24,Назад в будущее ,1985,115,16+,США,Фантастика,8.9,21
25,Ласточки Христовы ,2022,70,16+,Россия,Документальные,9.3,57
26,Собачья жизнь 2 ,2019,108,16+,США,Семейные,9.4,22
27,Евгений Гришковец: Предисловие ,2020,1 сезон,18+,Россия,Артхаус,8.9,11
28,Михаил Зорин. Жизнь продолжается! ,2021,72,18+,Россия,Документальные,9.2,8
29,Тариф Новогодний ,2008,82,18+,Россия,Комедии,9.1,4
30,Назад в будущее. Часть 3 ,1990,118,16+,США,Фантастика,9.0,8
31,С мячом в Британию ,2019,88,6+,Россия,Документальные,9.6,15
32,Зеленая миля ,1999,188,18+,США,Драмы,9.2,34
